id,title_mixxx,artist_mixxx,album_mixxx,album_artist_mixxx,genre_mixxx,grouping_mixxx,composer_mixxx,bpm_mixxx,key_mixxx,duration_mixxx,comment,rating_mixxx,coverart_location,color,title_notion,Mood,album_artist_notion,grouping_notion,rating_notion,bpm_notion,key_notion,duration_notion,genre_notion,composer_notion,album_notion,artist_notion,filename,Cover Art Filename,Groove,Rhythm Density,Phrase Length,Percussive Shape,Energy Level
1965,Manhattan Bridge,StudioRich,Field Recording,,Field Recording,,,138.0,Bb,3819.650612244,,5,,,,,,,,,,,,,,,,,,,,,
2065,Lofi Dreams chill Vibes,StudioRich,Mix,,,,,88.0,Gm,5594.267573696,,0,,,,,,,,,,,,,,,,,,,,,
2067,Bay Ridge Sunset v2 + 30-min Mix,StudioRich,Mix,,,,,81.10670219051082,Dm,1920.052244897,,0,,,,,,,,,,,,,,,,,,,,,
2068,Cloud Ecstacy Mix,StudioRich,Mix,,,,,87.0,Fm,3218.5759637180004,,0,,,,,,,,,,,,,,,,,,,,,
2069,Tropical Lo-Fi Chill Vol. 1,StudioRich,Mix,,,,,117.00550143,G,3615.753287981,,0,,,,,,,,,,,,,,,,,,,,,
2070,Cinematic Mix,StudioRich,Mix,,,,,82.83333333333333,D,3156.1955555550003,,0,,,,,,,,,,,,,,,,,,,,,
2071,Lofi Sunday - Cherry Soda - Jan 19 - 1hr,StudioRich,Mix,,,,,72.00308156639952,Db,3625.9700680270003,,0,,,,,,,,,,,,,,,,,,,,,
2072,Lofi Sunday - Feb 2 - Reflections - Harris Heller,StudioRich,Mix,,,,,149.97761509363096,Ab,3300.089614512,,0,,,,,,,,,,,,,,,,,,,,,
2426,Abyssal Mix,StudioRich,Stranger Vibes,,Lofi,,,100.75997946216044,D,3477.4174149650003,Generated by Trackstar,0,,,Abyssal Mix,,-,,0.0,0.0,,0.0,,,,,Abyssal_Mix.flac,Abyssal_Mix.jpg,,,,,
2670,Abyssal Mix,StudioRich,Stranger Vibes,,Lofi,,,100.76,D,3477.4170000000004,Generated by Trackstar,0,,,Abyssal Mix,,-,,0.0,0.0,,0.0,,,,,Abyssal_Mix.flac,Abyssal_Mix.jpg,,,,,
2428,Weightless Memory Drive,StudioRich,Stranger Vibes,,Lofi,,,76.36843045518283,F♯/G♭,4028.3138321990004,Generated by Trackstar,0,,,Weightless Memory Drive,,-,,0.0,0.0,,0.0,,,,,Weightless_Memory_Drive.flac,Weightless_Memory_Drive.jpg,,,,,
3088,Weightless Memory Drive,StudioRich,Stranger Vibes,,Lofi,,,76.3684,F♯/G♭,4028.3140000000003,Generated by Trackstar,0,,,Weightless Memory Drive,,-,,0.0,0.0,,0.0,,,,,Weightless_Memory_Drive.flac,Weightless_Memory_Drive.jpg,,,,,
